Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1fepvHow7M6YOsFN153O01,Ricky Thai,Ophilia,Psychic Mirrors,7/2/2021,326120,16,FALSE,,2026-03-05T04:18:53Z,"post-disco,funk",Amnisia,0.67,0.764,5,-4.872,0,0.0605,0.209,0.205,0.101,0.886,115.987,4
spotify:track:3f8xPR60MwwiwVX27Hn9ja,Abyss of Time (Wayang Kulit),TEKKEN TAG TOURNAMENT 2 (Original Soundtrack),Nami Nakagawa;TEKKEN Project;Bandai Namco Game Music,2/26/2024,234080,36,FALSE,,2026-01-26T16:57:35Z,"soundtrack,japanese vgm,shibuya-kei",Bandai Namco Game Music,0.463,0.966,10,-4.915,1,0.0511,0.0000413,0.837,0.0347,0.85,145.018,4
spotify:track:1Q3zQEIVDsWBcXEAdz6PKn,fuji,fuji,World Complete,11/12/2025,257777,31,FALSE,,2026-01-23T08:12:43Z,"synthwave,chillwave,vaporwave",World Complete,0.572,0.609,1,-12.053,1,0.0329,0.425,0.958,0.109,0.46,107.987,4
spotify:track:1TRFzG0ygREz3fS6SV520F,Zimbao,Sambaiana,Candeias,7/28/2017,216382,38,FALSE,,2026-01-23T08:12:37Z,"brazilian jazz,bossa nova",Notes On A Journey,0.542,0.434,11,-13.172,1,0.0393,0.454,0.89,0.0991,0.509,145.058,4
spotify:track:5TbH2vtnmIaVyUtOrOs4L1,Sunbeams (Dilla Tribute),Having Sax,Codo aka Codito,10/13/2022,196000,36,FALSE,,2026-01-23T08:12:21Z,,3350369 Records DK,0.497,0.332,1,-14.94,0,0.109,0.606,0.964,0.311,0.357,197.964,4
spotify:track:2NYSk9dVP44IUTXdXVeYWO,Mana Lake,Mana Lake,City Girl,1/16/2026,173000,31,FALSE,,2026-01-23T08:11:59Z,"lo-fi,lo-fi beats",City Girl Records,0.273,0.24,7,-16.125,0,0.0319,0.6,0.668,0.226,0.158,131.367,4
spotify:track:1h5s9sqEVvekkjn8WPkovN,Florence,Florence,john claude,10/24/2024,152362,38,FALSE,,2026-01-23T08:11:51Z,"rally house,lo-fi house",John Claude,0.816,0.815,6,-7.697,1,0.237,0.00443,0.199,0.0411,0.776,127.077,4
spotify:track:7kYKNgH55yaw6Gdrpnol3p,Give It All You've Got,Bruton BRH11: Pop Vocals,Brian Wade;Oswin John Falquero;Tony Cliff,6/6/2018,153056,31,FALSE,,2026-01-23T08:11:37Z,,Bruton Vaults,0.709,0.921,9,-8.456,0,0.0499,0.0577,0.00472,0.212,0.975,134.853,4
spotify:track:2qqEqWiTSftRX1rbq6BGFz,Braziliant Thought,Beat Journey,Dr Who Dat?;Jneiro Jarel,8/21/2006,253200,36,FALSE,,2026-01-23T08:11:28Z,experimental hip hop,VIBERIAN EXPERIENCE,0.5,0.816,7,-6.729,1,0.0509,0.000864,0.357,0.274,0.351,99.031,4
spotify:track:0Xq0u5G3JWc7U39WO9ByoX,Freydies - Mixed,Anjunadeep The Yearbook 2025,Yuvèe,12/19/2025,217884,21,FALSE,,2026-01-23T08:06:17Z,indie dance,Anjunadeep,0.79,0.65,8,-7.644,0,0.0476,0.0176,0.811,0.101,0.428,123.425,4
spotify:track:1iVoL44hADFc9QE0Wr47tc,Arabian Nights,Arabian Nights,Tony Dark Eyes,1/1/2026,170476,27,FALSE,,2026-01-23T08:00:36Z,,"© 2017-2026 Meta Platforms, Inc.",0.857,0.6,7,-7.634,1,0.0813,0.0008,0.824,0.274,0.329,126.021,4
